id,label,left_GenreList,left_HasAlbumName,left_HasAmount,left_HasArtistName,left_HasCopyright,left_HasCurrency,left_Minute,left_Name,left_ReleasedOn,left_Seconds,right_GenreList,right_HasAlbumName,right_HasAmount,right_HasArtistName,right_HasCopyright,right_HasCurrency,right_Minute,right_Name,right_ReleasedOn,right_Seconds
161,0," Rock ', ' Electronic', 'Dance ', ' Music ', ' House ",Nothing But the Beat,1.29,David Guetta,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",$,3.0,"""I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson )""",2011-08-26 00:00:00,34.0,Dance & Electronic,Nothing But The Beat,1.29,David Guetta,2009 Andy Henningsen,$,3.0,Without You ( Feat . Usher ),2011-08-26 00:00:00,28.0
14,0,"Alternative ', ' Rock ', ' Adult Alternative', ' Music ",VHS,1.29,X Amba,2015 KIDinaKORNER/Interscope Records,$,1.0,VHS Outro ( Interlude ),2015-06-30 00:00:00,25.0,Alternative Rock,VHS [ Explicit ,1.29,X Ambassadors,( C ) 2015 KIDinaKORNER/Interscope Records,$,0.0,Smoke ( Interlude ) [ Explicit ,2015-06-30 00:00:00,24.0
494,1," Dance ', ' Music ', ' Vocal ', ' Teen Pop ', 'Pop ', ' Rock",Believe,1.29,Justin Bieber,‰ ãÑ 2012 The Island Def Jam Music Group,$,3.0,Take You,2012-06-19 00:00:00,40.0,Pop,Believe,1.29,Just Bieb,( C ) 2012 The Island Def Jam Music Group,$,3.0,Take You ( Album Version ),2012-06-19 00:00:00,40.0
216,1," Urban Cowboy ', ' Music ', ' Contemporary Country', 'Country ",Ignite the Night,1.29,Chase Rice,2014 Dack Janiels Records,$,3.0,Jack Daniels and Jesus,2014-08-19 00:00:00,55.0,Country,Ignite the Night,1.29,Chase Rice,"( C ) 2014 Dack Janiels Records , under exclusive license to Sony Music Entertainment .",$,3.0,Jack Daniels and Jesus,2014-08-19 00:00:00,55.0
73,0," Rock ', 'Dance ', ' Electronic ', ' French Pop', ' Music ', ' House ",Listen ( Deluxe Version ),1.29,David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",$,3.0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ,2014-11-24 00:00:00,20.0,Dance & Electronic,Listen,1.29,David Guetta,2015 If Moving Your Mine,$,3.0,"""I 'll Keep Loving you ( feat . Birdy & Jaymes Young )""",2014-11-24 00:00:00,8.0
398,0," Music', 'Dance ","""Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP""",1.29,Skrillex & Diplo,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,$,2.0,"""Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ]""",2015-06-16 00:00:00,31.0,"Dance & Electronic ', ' Dubstep",Ease My Mind v Ragga Bomb Remixes,1.29,Skrillex,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",$,4.0,Ease My Mind ( feat . Niki and the Dove ) [ GTA Remix ,2014-11-24 00:00:00,41.0
101,0,"Dance ', ' House ', ' Electronic ', ' French Pop', ' Music ', ' Rock ",Listen,1.29,David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",$,3.0,The Whisperer ( feat . Sia ),2014-11-24 00:00:00,54.0,Dance & Electronic,Listen ( Deluxe ),1.29,David Guetta,2015 If Moving Your Mine,$,3.0,S.T.O.P ( feat . Ryan Tedder ),2014-11-24 00:00:00,34.0
239,0," Rock', ' Music ', 'Singer/Songwriter ",Live After Deaf ( Live ) [ Complete Collection ,0.99,Ryan Adams,2012 PAXAM RECORDS,$,5.0,If I Am a Stranger ( Live In Amsterdam ),2012-07-02 00:00:00,10.0,"Folk ', ' Rock",Live After Deaf ( Collection ),0.99,David Ryan Adams,2012 PAXAM RECORDS,$,5.0,Do I Wait ( Live in Lisbon Bonus Track ),2012-07-02 00:00:00,8.0
118,0," Music ', 'Dance ', ' Electronic",Titanium ( Spanish Version ) - Single,1.29,David Guetta,"2012 What A Music Ltd , Licence exclusive Parlophone Music France",$,3.0,Titanium ( Spanish Version ),2012-08-20 00:00:00,58.0,Dance & Electronic,Titanium ( Feat . Sia ),0.99,David Guetta,"2011 What A Music Ltd , licence exclusive Parlophone Music France",$,6.0,"""Titanium ( feat . Sia ) [ Cazzette 's Ant Seeking Hamster Mix ]""",2012-01-20 00:00:00,37.0
245,1,"Rock ', ' Music",1989,1.29,Ryan Adams,2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,$,4.0,Clean,2015-09-21 00:00:00,23.0,Rock,1989,1.29,Ryan Adams,"( C ) 2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records', '( C ) 2014 Big Machine Records , LLC .",$,4.0,Clean,2015-09-21 00:00:00,23.0
505,1," Music ', ' Contemporary Country', 'Country ","""Doin ' My Thing""",1.29,Thomas Luther Bryan,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",$,3.0,"""Doin ' My Thing""",2009-10-02 00:00:00,9.0,Country,"""Doin ' My Thing""",1.29,Luke Bryan,( C ) 2009 Capitol Records Nashville,$,3.0,"""Doin ' My Thing""",2009-10-02 00:00:00,9.0
316,0," Music ', ' Rap', 'Hip-Hop/Rap ', ' Hardcore Rap ', ' East Coast Rap ",O.N.I.F.C. ( Deluxe Version ),1.99,Wiz Khalifa,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,5.0,Remember You ( feat . The Weeknd ),2012-12-04 00:00:00,20.0,Rap & Hip-Hop,O.N.I.F.C. [ Explicit ,1.29,Wiz Khalifa,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,4.0,The Plan ( feat . Juicy J ) [ Explicit ,2012-12-04 00:00:00,54.0
11,0," Rock ', 'Alternative ', ' Music ', ' Adult Alternative",VHS,1.29,X Ambassadors,2015 KIDinaKORNER/Interscope Records,$,1.0,VHS Outro ( Interlude ),2015-06-30 00:00:00,25.0,Alternative Rock,VHS [ Explicit ,1.29,X Ambassadors,( C ) 2015 KIDinaKORNER/Interscope Records,$,0.0,Smoke ( Interlude ) [ Explicit ,2015-06-30 00:00:00,24.0
32,0," Rock', ' Pop/Rock ', ' Contemporary R&B ', ' R&B / Soul ', ' Music ', ' Hip-Hop/Rap ', 'Pop ",Hotel Cabana,1.29,Naughty Boy,2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,$,1.0,Epilogue ( feat . George the Poet ),2014-05-06 00:00:00,28.0,Pop,Hotel Cabana ( Deluxe Version ) [ Explicit ,1.29,Naughty Boy,( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,$,3.0,So Strong [ feat . Chasing Grace ,2014-05-06 00:00:00,36.0
